step,time,uav0_x,uav0_y,uav0_yaw,uav0_state,uav0_min_obs_dist,uav0_path_length,uav1_x,uav1_y,uav1_yaw,uav1_state,uav1_min_obs_dist,uav1_path_length,uav2_x,uav2_y,uav2_yaw,uav2_state,uav2_min_obs_dist,uav2_path_length,coverage,min_inter_uav_dist,replan_count,collision_flag
83,16.6,23.95,28.52,0.757,explore,4.96,0.0,33.94,49.27,-0.025,explore,5.15,0.0,30.41,85.50,-0.753,explore,6.26,0.0,0.2949,27.48,35,0
84,16.8,24.39,28.94,0.757,explore,4.41,0.0,34.54,49.26,-0.025,explore,4.56,0.0,30.85,85.09,-0.753,explore,6.83,0.0,0.2955,27.48,35,0
85,17.0,24.83,29.35,0.757,explore,3.87,0.0,35.11,49.42,0.281,explore,3.96,0.0,31.29,84.68,-0.753,explore,7.40,0.0,0.2979,27.48,35,0
86,17.2,25.25,29.75,0.757,explore,3.34,0.0,35.69,49.59,0.281,explore,3.37,0.0,31.72,84.27,-0.753,explore,7.97,0.0,0.3004,27.48,35,0
87,17.400000000000002,25.85,29.75,0.000,explore,3.18,0.0,36.25,49.75,0.281,explore,2.77,0.0,32.15,83.85,-0.785,explore,7.97,0.0,0.3027,27.18,35,0
88,17.6,26.45,29.75,0.000,explore,3.08,0.0,36.25,50.35,1.571,explore,2.18,0.0,32.57,83.43,-0.785,explore,8.50,0.0,0.3044,26.88,35,0
89,17.8,25.85,29.75,3.142,explore,3.03,0.0,36.25,49.75,-1.571,explore,1.77,0.0,33.00,83.00,-0.785,explore,9.03,0.0,0.3065,26.24,35,0
90,18.0,26.42,29.95,0.343,explore,3.03,0.0,36.67,50.17,0.785,explore,1.77,0.0,33.59,83.12,0.196,explore,9.03,0.0,0.3096,26.24,35,0
91,18.2,26.98,30.15,0.343,explore,2.56,0.0,37.10,50.60,0.785,explore,1.46,0.0,34.17,83.24,0.196,explore,9.42,0.0,0.3096,25.95,35,0
92,18.400000000000002,27.58,30.19,0.054,explore,2.11,0.0,37.15,51.20,1.479,explore,1.23,0.0,34.77,83.24,0.009,explore,9.82,0.0,0.3138,25.66,35,0
93,18.6,28.18,30.22,0.054,explore,1.77,0.0,37.21,51.79,1.479,explore,1.10,0.0,35.37,83.25,0.009,explore,10.24,0.0,0.3172,25.28,35,0
94,18.8,28.75,30.25,0.054,explore,1.48,0.0,36.78,52.22,2.357,explore,0.90,0.0,35.84,83.62,0.676,explore,10.60,0.0,0.3214,25.10,35,0
95,19.0,29.17,29.83,-0.785,explore,1.48,0.0,37.21,51.79,-0.786,explore,0.81,0.0,36.31,84.00,0.676,explore,10.98,0.0,0.3253,25.18,35,0
96,19.200000000000003,29.60,29.40,-0.785,explore,1.42,0.0,37.22,52.39,1.542,explore,0.81,0.0,36.78,84.37,0.676,explore,11.37,0.0,0.3295,24.78,35,0
97,19.400000000000002,30.16,29.18,-0.376,explore,1.44,0.0,37.24,52.99,1.552,explore,0.55,0.0,37.38,84.32,-0.083,explore,11.84,0.0,0.3312,24.74,35,0
98,19.6,30.75,29.25,0.115,explore,1.54,0.0,37.25,53.59,1.552,explore,0.55,0.0,37.98,84.29,-0.053,explore,12.32,0.0,0.3345,24.34,35,0
99,19.8,31.08,28.75,-0.983,explore,1.49,0.0,37.25,54.19,1.569,explore,0.55,0.0,38.58,84.26,-0.053,explore,12.81,0.0,0.3360,23.78,35,0
100,20.0,31.42,28.25,-0.983,explore,1.49,0.0,37.25,54.79,1.569,explore,0.91,0.0,39.18,84.26,-0.006,explore,12.81,0.0,0.3375,23.34,35,0
101,20.200000000000003,31.75,27.75,-0.983,explore,1.36,0.0,37.25,55.39,1.570,explore,0.78,0.0,39.78,84.25,-0.006,explore,13.32,0.0,0.3375,23.02,35,0
102,20.400000000000002,31.75,27.15,-1.570,explore,1.29,0.0,37.25,55.99,1.570,explore,0.78,0.0,40.38,84.25,-0.001,explore,13.85,0.0,0.3431,22.71,35,0
103,20.6,31.87,26.56,-1.365,explore,1.30,0.0,37.25,56.59,1.570,explore,0.72,0.0,40.98,84.25,-0.001,explore,14.30,0.0,0.3477,22.55,35,0
104,20.8,31.99,25.98,-1.365,explore,1.38,0.0,37.25,57.19,1.571,explore,0.80,0.0,41.58,84.25,-0.001,explore,14.76,0.0,0.3528,22.42,35,0
